DB_Object_Symbol,GO_ID,namespace,name,def
Atr,GO:0000077,biological_process,DNA damage checkpoint,"""A cell cycle checkpoint that regulates progression through the cell cycle in response to DNA damage. A DNA damage checkpoint may blocks cell cycle progression (in G1, G2 or metaphase) or slow the rate at which S phase proceeds."" [GOC:mtg_cell_cycle]"
Actb,GO:0000079,biological_process,regulation of cyclin-dependent protein serine/threonine kinase activity,"""Any process that modulates the frequency, rate or extent of cyclin-dependent protein serine/threonine kinase activity."" [GOC:go_curators, GOC:pr]"
Phf8,GO:0000082,biological_process,G1/S transition of mitotic cell cycle,"""The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."" [GOC:mtg_cell_cycle]"
Brd4,GO:0000083,biological_process,regulation of transcription involved in G1/S transition of mitotic cell cycle,"""Any process that regulates transcription such that the target genes are involved in the transition between G1 and S phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]"
Kdm8,GO:0000086,biological_process,G2/M transition of mitotic cell cycle,"""The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex."" [GOC:mtg_cell_cycle]"
Ercc5,GO:0000109,cellular_component,nucleotide-excision repair complex,"""Any complex formed of proteins that act in nucleotide-excision repair."" [PMID:10915862]"
Hdac10,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac10,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac1,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac1,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Ncor2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac11,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Ncor1,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac3,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac9,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac8,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac3,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac3,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac7,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac6,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac4,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac11,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Cbx5,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac5,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac1,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Ncor1,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Mta2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Mbd2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Mecom,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Ncor2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac8,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac9,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Asxl2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ncor1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac7,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Prdm14,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac9,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac5,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac5,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac5,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac5,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac5,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Kdm1a,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac5,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Sirt7,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Sirt6,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Pcgf1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Bmi1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Sin3b,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Mecp2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Pcgf6,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Mta2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Sin3a,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ncor2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Pcgf2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Mbd2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Uhrf1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Eed,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Mta1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Mbd1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Uhrf1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Crebbp,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Prdm13,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac9,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Mta3,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac9,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Mbd3,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hcfc1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Jarid2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Chd8,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Aurkb,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Chd4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Bmi1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Bmi1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Bmi1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Bmi1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Bmi1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Bptf,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Cbx8,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Cbx7,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Cbx6,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Cbx5,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Cbx4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Cbx4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Cbx4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Cbx4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Cbx2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Cbx2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Cbx2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ezh1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ezh2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac4,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac3,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac3,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac3,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac3,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ep300,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac10,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Hdac1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ube2i,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ezh2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ezh2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ezh1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ube2i,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Jarid2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Epc1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Rnf2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ncor1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ncor1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Ncor1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Mtf2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Mta2,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Satb1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Satb1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Dnmt3a,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Dnmt3a,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Setdb1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
Men1,GO:0000122,biological_process,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"
